Year,Country,Top 10% income share,Top 5% income share,Top 1% income share,Top 0.5% income share,Top 0.1% income share,Top 0.01% income share,Top 10-5% income share,Top 5-1% income share,Top 1-0.5% income share,Top 0.5-0.1% income share,Top 0.1-0.01% income share,Top 10% income share-including capital gains,Top 5% income share-including capital gains,Top 1% income share-including capital gains,Top 0.5% income share-including capital gains,Top 0.1% income share-including capital gains,Top 0.01% income share-including capital gains,Top 10-5% income share-including capital gains,Top 5-1% income share-including capital gains,Top 1-0.5% income share-including capital gains,Top 0.5-0.1% income share-including capital gains,Top 0.1-0.01% income share-including capital gains,Top 10% income composition-Wages_ salaries and pensions,Top 10% income composition-Entrepreneurial income,Top 10% income composition-Dividends,Top 10% income composition-Interest Income,Top 10% income composition-Rents,Top 5% income composition-Wages_ salaries and pensions,Top 5% income composition-Entrepreneurial income,Top 5% income composition-Dividends,Top 5% income composition-Interest Income,Top 5% income composition-Rents,Top 1% income composition-Wages_ salaries and pensions,Top 1% income composition-Entrepreneurial income,Top 1% income composition-Dividends,Top 1% income composition-Interest Income,Top 1% income composition-Rents,Top 0.5% income composition-Wages_ salaries and pensions,Top 0.5% income composition-Entrepreneurial income,Top 0.5% income composition-Dividends,Top 0.5% income composition-Interest Income,Top 0.5% income composition-Rents,Top 0.1% income composition-Wages_ salaries and pensions,Top 0.1% income composition-Entrepreneurial income,Top 0.1% income composition-Dividends,Top 0.1% income composition-Interest Income,Top 0.1% income composition-Rents,Top 0.01% income composition-Wages_ salaries and pensions,Top 0.01% income composition-Entrepreneurial income,Top 0.01% income composition-Dividends,Top 0.01% income composition-Interest Income,Top 0.01% income composition-Rents,Top 10-5% income composition-Wages_ salaries and pensions,Top 10-5% income composition-Entrepreneurial income,Top 10-5% income composition-Dividends,Top 10-5% income composition-Interest Income,Top 10-5% income composition-Rents,Top 5-1% income composition-Wages_ salaries and pensions,Top 5-1% income composition-Entrepreneurial income,Top 5-1% income composition-Dividends,Top 5-1% income composition-Interest Income,Top 5-1% income composition-Rents,Top 1-0.5% income composition-Wages_ salaries and pensions,Top 1-0.5% income composition-Entrepreneurial income,Top 1-0.5% income composition-Dividends,Top 1-0.5% income composition-Interest Income,Top 1-0.5% income composition-Rents,Top 0.5-0.1% income composition-Wages_ salaries and pensions,Top 0.5-0.1% income composition-Entrepreneurial income,Top 0.5-0.1% income composition-Dividends,Top 0.5-0.1% income composition-Interest Income,Top 0.5-0.1% income composition-Rents,Top 0.1-0.01% income composition-Wages_ salaries and pensions,Top 0.1-0.01% income composition-Entrepreneurial income,Top 0.1-0.01% income composition-Dividends,Top 0.1-0.01% income composition-Interest Income,Top 0.1-0.01% income composition-Rents,Top 10% capital gains (a),Top 5% capital gains (a),Top 1% capital gains (a),Top 0.5% capital gains (a),Top 0.1% capital gains (a),Top 0.01% capital gains (a),Top 10-5% capital gains (a),Top 5-1% capital gains (a),Top 1-0.5% capital gains (a),Top 0.5-0.1% capital gains (a),Top 0.1-0.01% capital gains (a),Top 10% capital gains (b),Top 5% capital gains (b),Top 1% capital gains (b),Top 0.5% capital gains (b),Top 0.1% capital gains (b),Top 0.01% capital gains (b),Top 10-5% capital gains (b),Top 5-1% capital gains (b),Top 1-0.5% capital gains (b),Top 0.5-0.1% capital gains (b),Top 0.1-0.01% capital gains (b),Number of tax units,Number of tax returns,Income control,Income control-including capital gains,Price index,Average income per tax unit,Average income per tax unit-including capital gains,Top 10% average income,Top 5% average income,Top 1% average income,Top 0.5% average income,Top 0.1% average income,Top 0.01% average income,Bottom 90% average income,Top 10-5% average income,Top 5-1% average income,Top 1-0.5% average income,Top 0.5-0.1% average income,Top 0.1-0.01% average income,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold,Top 10% average income-including capital gains,Top 5% average income-including capital gains,Top 1% average income-including capital gains,Top 0.5% average income-including capital gains,Top 0.1% average income-including capital gains,Top 0.01% average income-including capital gains,Bottom 90% average income-including capital gains,Top 10-5% average income-including capital gains,Top 5-1% average income-including capital gains,Top 1-0.5% average income-including capital gains,Top 0.5-0.1% average income-including capital gains,Top 0.1-0.01% average income-including capital gains,P90 income threshold-including capital gains,P95 income threshold-including capital gains,P99 income threshold-including capital gains,P99.5 income threshold-including capital gains,P99.9 income threshold-including capital gains,P99.99 income threshold-including capital gains,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
1913,United States,,,17.96,14.73,8.62,2.76,,,3.23,6.11,5.86,,,17.96,14.73,8.62,2.76,,,3.23,6.11,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37700.728,358,27630.88946,27630.88946,0.0470683,15571,15571,,,279655.73,458611.18,1341691.66,4289834.45,,,,100700.27,237841.07,1014120.23,,,80087.9,131337.23,415206.36,1746429.12,,,279655.73,458611.18,1341691.66,4289834.45,,,,100700.27,237841.07,1014120.23,,,80087.9,131337.23,415206.36,1746429.12,1.468,3.135
1914,United States,,,18.16,15.08,8.6,2.73,,,3.08,6.48,5.87,,,18.16,15.08,8.6,2.73,,,3.08,6.48,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38513.305,358,27948.16142,27948.16142,0.0477022,15212.61,15212.61,,,276229.63,458820.22,1308792.47,4151837.71,,,,93639.04,246327.15,992898.56,,,74012.72,122935.88,397671.61,1735225.57,,,276229.63,458820.22,1308792.47,4151837.71,,,,93639.04,246327.15,992898.56,,,74012.72,122935.88,397671.61,1735225.57,1.48,3.083
1915,United States,,,17.58,14.58,9.22,4.36,,,3,5.36,4.86,,,17.58,14.58,9.22,4.36,,,3,5.36,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39154.052,337,28973.60749,28973.60749,0.0481777,15359.6,15359.6,,,269986.86,447810.74,1415978.68,6697324.1,,,,92162.99,205768.75,829162.52,,,62392.24,118717.43,437522.75,2219930.2,,,269986.82,447829.46,1416060.74,6696865.45,,,,92144.18,205771.64,829304.66,,,62392.24,118717.43,437522.75,2219930.2,1.389,3.568
1916,United States,,,18.57,15.6,9.87,4.4,,,2.97,5.74,5.46,,,19.31,16.37,10.51,4.78,,,2.94,5.86,5.73,,,,,,,,,,,19.49,32.78,32.4,9.31,6.03,16.48,31.7,36.73,9.5,5.59,10.25,28.29,47.28,9.55,4.63,5.63,24.28,56.81,9.33,3.95,,,,,,,,,,,35.02,38.38,9.99,8.3,8.32,26.94,37.41,19.05,9.42,7.18,13.84,31.42,39.85,9.73,5.16,,,3.22,3.62,4.1,3.97,,,1.08,2.78,4.21,,,7.53,8.6,10.86,14.19,,,1.54,4.55,8.08,39790.089,437,34456.01679,35007.59908,0.0518227,16709.76,16977.25,,,310351.41,521466.19,1648673.13,7360537.26,,,,99236.63,239664.45,1014021.56,,,74869.18,133777.14,502094.17,2749838.93,,,327843.54,555899.51,1785100.6,8117221.06,,,,99787.56,248599.24,1081531.66,,,75284.84,138764.4,535521.89,3032530.06,1.379,3.64
1917,United States,40.29,30.33,17.6,14.23,8.36,3.33,9.95,12.74,3.37,5.88,5.03,40.51,30.64,17.74,14.34,8.4,3.37,9.87,12.9,3.39,5.94,5.04,,,,,,31.42,31.42,23.54,7.75,5.88,24.37,22.22,37.34,11.43,4.63,21.71,19.03,43.11,12.04,4.11,15.41,15.97,52.65,12.87,3.11,8.37,13.82,61.15,14.26,2.4,,,,,,41.34,44.37,4.08,2.55,7.65,35.59,35.68,13.04,8.88,6.81,30.62,23.36,29.64,10.86,5.52,20.1,17.4,46.98,11.94,3.58,,1.62,1.54,1.45,1.23,0.79,,1.74,1.9,1.77,1.52,,2.61,2.93,2.98,3.02,3.07,,2.17,2.7,2.92,2.99,40386.988,3473,41827.0798,42193.26525,0.060856,17018.16,17167.15,68561.12,103247.63,299510.85,484479.44,1422357.35,5668355.48,11291.16,33874.62,54181.82,114542.27,250009.97,950579.78,27008.81,37404.74,92341.21,149697.89,519558.65,2370231.78,69540.09,105205.56,304496.24,492442.72,1442304.24,5777093.64,11347.93,33874.62,55382.9,116549.76,254977.33,960660.97,27008.81,38233.91,93959.6,152672.19,525068.73,2415700.81,1.478,3.092
1918,United States,39.9,29.3,15.88,12.39,6.74,2.45,10.61,13.41,3.5,5.64,4.29,40.11,29.49,15.96,12.43,6.72,2.45,10.61,13.53,3.53,5.71,4.26,46.1,25.81,14.42,8.05,5.63,38.15,28.22,18.98,8.99,5.67,27.61,26.74,29.78,10.9,4.98,25.72,24.16,34.51,11.32,4.3,19.18,22.51,42.71,12.44,3.18,10.14,23.54,49.5,14.28,2.56,67.9,18.52,2.47,5.58,5.52,50.69,29.82,6.18,6.9,6.41,34.26,35.88,13.07,9.41,7.39,33.5,26.12,24.76,9.99,5.64,24.41,21.91,38.78,11.37,3.53,1.17,1.33,1.38,1.23,0.78,0.41,0.73,1.28,1.88,1.76,1,1.69,2.02,2.4,2.33,1.84,1.61,0.81,1.59,2.67,2.9,1.98,40451.066,4425,46568.45792,46912.26556,0.0714741,16106.94,16225.85,64272.69,94380.06,255830.08,398984.85,1085795.28,3943241.32,10755.19,34165.33,54017.55,112675.3,227282.24,768301.27,28584.05,38188.97,92221.06,143219.66,442731.08,1791549.8,65077.11,95711.1,258988.54,403359.11,1089806.67,3982193.25,10797.94,34443.12,54891.74,114617.97,231747.22,768430.38,28816.45,38807,93811.07,146033.22,442805.48,1809246.99,1.593,2.687
1919,United States,39.48,29.31,15.87,12.23,6.45,2.22,10.17,13.44,3.63,5.78,4.23,40.32,30.17,16.41,12.64,6.63,2.29,10.15,13.76,3.77,6.01,4.34,47.66,28.33,12.1,7.06,4.85,39.41,31.66,15.75,8.17,5.01,28.69,31.82,24.86,10.24,4.39,26,30.45,28.72,10.79,4.04,19,30.7,35.4,11.64,3.26,10,31.8,42.6,12.93,2.67,71.17,18.24,2.16,4.02,4.42,52.09,31.49,4.82,5.93,5.67,37.65,36.43,11.98,8.38,5.56,33.72,30.17,21.35,9.85,4.91,23.67,30.12,31.67,10.98,3.56,3.07,3.58,3.72,3.44,2.84,2.03,1.56,3.42,4.66,4.09,3.26,4.53,5.52,6.67,6.72,6.78,7.65,1.73,4.24,6.53,6.64,6.32,41052.355,5333,53163.65081,54237.82429,0.0820922,15775.19,16093.93,62282.55,92466.76,250311.52,385986.3,1018127.56,3502418.54,10607.71,32098.33,53005.57,114636.73,227950.99,742095.23,27058.98,37373.03,93757.35,145818.99,464982.85,1654851.46,64883.71,97103.37,264113.92,406799.62,1066982.1,3679925,10672.84,32664.04,55350.73,121428.23,241754,776655.11,27535.88,39026.55,99311.87,154648.7,486637.42,1738721.16,1.641,2.56
1920,United States,38.1,27.47,14.46,10.95,5.37,1.67,10.63,13.01,3.51,5.58,3.7,39.01,28.32,14.83,11.14,5.36,1.66,10.69,13.49,3.69,5.79,3.69,52.05,22.44,13.78,7.37,4.36,44.67,25.37,17.11,8.2,4.65,32.06,26.58,27.33,9.6,4.44,28.79,25.8,31.25,10.01,4.16,21.14,25.47,39.16,10.5,3.73,11.59,25.38,48.67,10.96,3.4,73.21,15.27,2.56,5.33,3.63,58.64,24.14,5.58,6.77,4.87,42.24,28.99,15.13,8.33,5.31,36.1,26.12,23.69,9.53,4.56,25.49,25.52,34.81,10.3,3.88,3.47,3.93,3.45,2.76,1.52,0.62,2.28,4.45,5.54,3.93,1.92,4.7,5.56,5.62,4.92,3.35,2.42,2.53,5.5,7.72,6.38,3.77,41909,7260,56062.04922,57199.78719,0.0950875,14068.19,14353.69,53600.34,77289.07,203412.5,308185.09,755663.21,2351692.38,9675.73,29911.6,45758.21,98639.91,196315.56,578326.64,27460.21,33262.77,80455.37,128494.45,368109.89,1194598.41,55999.65,81310.84,212862.63,319886.18,768959.45,2386872.44,9726.36,30688.46,48422.89,105839.07,207617.87,589191.34,28173.4,35199.79,86327.35,135892.15,375025.37,1212468.96,1.755,2.325
1921,United States,42.86,30.46,15.47,11.6,5.6,1.69,12.4,14.98,3.87,6,3.91,43.18,30.8,15.64,11.7,5.6,1.69,12.38,15.17,3.94,6.1,3.91,57.98,17.62,11.94,7.45,5.01,48.96,20.54,16.44,8.66,5.39,35.51,22.46,26.36,10.25,5.42,31.52,21.97,30.68,10.65,5.18,23.08,21.65,39.86,10.88,4.53,13.51,21.33,50.97,10.23,3.97,79.02,10.81,1.44,4.61,4.12,62.8,18.72,5.96,7.15,5.36,47.42,23.93,13.47,9.04,6.14,39.36,22.27,22.14,10.44,5.79,27.27,21.79,35,11.17,4.77,1.51,1.83,1.91,1.69,1.17,0.4,0.71,1.75,2.55,2.18,1.5,2.13,2.69,3.21,3.08,2.53,1.56,0.79,2.18,3.61,3.57,2.95,42835.195,6662,45161.88741,45615.6256,0.0849449,12411.78,12536.49,53196.57,75605.3,192046.68,287924.44,695328.67,2096611.6,7880.14,30787.84,46494.95,96168.92,186073.38,539630.57,26926.06,33587.43,79241.83,122271.2,343458.45,1098527.15,54133.87,77235.09,196044.5,293306.11,702287.97,2116656.94,7914.55,31032.65,47532.74,98782.89,191060.64,545135.86,27140.15,34337.11,81395.71,125548.39,346962.4,1109029.97,1.79,2.266
1922,United States,42.95,31.05,16.29,12.38,6.17,2.01,11.9,14.76,3.92,6.21,4.16,43.72,31.94,17.06,13.06,6.64,2.27,11.78,14.89,4,6.42,4.36,54.33,19.1,12.55,7.69,6.33,45.67,21.61,16.9,8.82,7,32,22.15,27.35,10.52,7.98,28.03,21.21,31.94,10.85,7.96,20.05,19.99,41.38,10.94,7.63,11.15,18.13,52.64,10.27,7.81,75.67,12.91,1.84,4.89,4.69,60.5,21.06,5.31,7.11,6.02,44.37,25.08,13.05,9.49,8.02,35.75,22.38,22.82,10.76,8.29,24.11,20.84,36.25,11.25,7.55,2.72,3.35,4.22,4.4,4.9,5.85,1.02,2.38,3.64,3.9,4.43,4.48,5.77,8.41,9.41,12.4,19.9,1.13,2.96,5.12,6.33,8.49,43542.909,6787,48546.74741,49599.87293,0.0795566,14014.15,14318.16,60188.74,87035.66,228322.96,346884.49,864466.63,2815891.15,8883.64,33341.81,51713.83,109761.44,217488.96,647641.68,28665.27,37245.05,88764.67,139003.07,400214.17,1271451.43,62601.1,91478.66,244233.79,373927.35,950073.99,3256178.92,8953.39,33723.53,53289.87,114540.24,229890.68,693840.11,28993.45,38380.14,92629.32,146929.34,428762.78,1470253.33,1.73,2.371
